EventID,SessionID,EventTypeID,EventTarget,StartDateTimeUTC,EndDateTimeUTC,EventDataBlob
607,17,1,,2016-03-17 16:47:18.9320000,2016-03-17 16:47:21.8670000,4E72437345594259426F7567474175744D423241544C56426D424136635A4E476465556664493041446E476E5730336A3279747673686D636A6276417742732B5547334C394F2B4156514363384C446E796F5A632D716D6E3571792B74504335434B554C4F3178776545536747675371444C4478534C4175756E5455687070592B666F6A707A562B304A55326B694151464D48776C4B46465251434F6C735A77496961584436616D6C55656A786F3445793564456745374E595554504A433658563050423455634868452B6C42734C4A727A5941625549585161487673694C703661616D796C524341
608,17,2,,2016-03-17 16:47:19.4040000,2016-03-17 16:47:21.8680000,4E724173426F4159463132424755414F5355423039594F5253625259424D4162504575674B78476B444D346D6338416E4B66526C733852577A52793032774A77535A4E6C5747303253496F556A6434614A74476841
805,38,2,,2016-03-18 23:41:00.7260000,2016-03-18 23:41:04.5030000,4E72444D4659426F415946314F41526C416468674F6B664D30436347416D625541466E326E56474944596F4B53627A3178735478514E727472456D567355424468514163416B694979344231614A4377495531446F6B7779533839455558564A716867684855436D6C676C7967357172755A534A4E2D57787456694569614E48757270627A334F31496E686F456172364955434542694E483249565275694E543449515A49764A49685A6B6745654A41684E746E496565694F6863486F72746D6B785435494A43516338556A67374A43676F556738554F315278766A7454596D6F62656970512D334D32496B53493657494971443237574B775141
806,38,16,,2016-03-18 23:41:00.7130000,2016-03-18 23:41:00.8270000,4E72444D4459465942705436414D42646177417344793141784136415269535341
807,38,16,,2016-03-18 23:41:01.3070000,2016-03-18 23:41:01.3730000,4E72444D42594134426F445945356251417746315641
808,38,16,,2016-03-18 23:41:01.4240000,2016-03-18 23:41:02.5590000,4E72417341594459426F4859435A545841585773417A4B4430434D7542574763414F6C6A55306E4431314145356B53414F436A4A6E664352753175676D676B7A79392B2B4B6E684B34554B4941
809,38,16,,2016-03-18 23:41:02.6130000,2016-03-18 23:41:03.1100000,4E72417341594759426F455A594777413572674C72574A41724B4F6C525A55413653444D6363664345304E4E4941
810,38,16,,2016-03-18 23:41:03.1670000,2016-03-18 23:41:03.7250000,4E72417341594134426F4559475943734E7746317248674A6B58416246696748536A71615235794943637534526971715141
811,38,16,,2016-03-18 23:41:03.7910000,2016-03-18 23:41:04.5050000,4E72444D45344859426F455A4945774F6742674C72544B41484E424C59413256414F6B4932414259555538624C5449303067
812,38,16,,2016-03-18 23:41:05.1260000,2016-03-18 23:41:05.2440000,4E72424D4459453442705642474741474175744D6F6D3077446D6B674F6E68525341
813,38,16,,2016-03-18 23:41:05.3280000,2016-03-18 23:41:05.6550000,4E72424D45594534427051426E41566D6E4175716F41
814,38,16,,2016-03-18 23:41:06.5350000,2016-03-18 23:41:06.5910000,4E72424D46594559426F45344259427330414D42644E51
815,38,16,,2016-03-18 23:41:06.6350000,2016-03-18 23:41:07.1260000,4E72424D6F5A6747674467646743785141774630706A67526967677245736748514B717041
821,39,8,,2016-03-19 00:19:45.1970000,2016-03-19 00:19:45.3140000,
817,39,16,,2016-03-19 00:19:45.3230000,2016-03-19 00:19:45.6100000,4E72444D4259427051566C53414D42645359424D3177455A45446F737242705152514B35704A4A41
818,39,16,,2016-03-19 00:19:45.6380000,2016-03-19 00:19:46.3930000,4E72434D4259426F475A3279414D426453786F45354C6C414E6B514F6878545153775367587748596B6B67
819,39,16,,2016-03-19 00:19:46.4260000,2016-03-19 00:19:46.9080000,4E72434D4859426F4259435A736742674C71574C4B425752696B4470706C6B67
820,39,16,,2016-03-19 00:19:46.9140000,2016-03-19 00:19:47.5390000,4E72434D6F47674667546869414D426443777151477A6B514F674D7772423441634547436B434F556865655A434375417249514577594F55345A4A4A41
825,40,2,,2016-03-19 00:42:51.3400000,2016-03-19 00:42:56.2880000,4E72424D426F41594631324157655542304247577743636D576736675A6B68515033674134563538425743535A47327042674E6E31595048546C4149485A7561444B484C465579504C334B434A70615A516E56656D4A424D775A34715675436B4A2B53554D4C6731496C493370716F63522B634470636A792B3642713747474F6A7150733472554242472D426A386B494849476E4438524F423230546745787344384E46794A6575513053496C326D41515169633659724B6978486E44464363692B57507746794D455659754477456444515141
836,40,2,,2016-03-19 00:42:56.3740000,2016-03-19 00:43:31.5350000,4E72434D4159413447594270774C717A4B41374B654136555377435A774E784D39645139516A4E6F794B41574C4F7336554156693165665377445A6D424F4B7167476F736B4D6E584467732D4365485A354D73354B447239704E46577636786F324366783137534B316D316830535A566E6A69584E59477730744D455141
835,40,8,,2016-03-19 00:42:39.9850000,2016-03-19 00:42:51.2780000,
826,40,16,,2016-03-19 00:42:51.3200000,2016-03-19 00:42:51.5510000,4E72424D45344159426F42594659447331494631706E414E6A76417A43674851434D367765784D4338526F71715141
827,40,16,,2016-03-19 00:42:51.6250000,2016-03-19 00:42:52.7000000,4E72444D455A514767466744674178515158537341544154674B7851477749447379416445576D416E6F666D584A61427541516E5171566F786E62564F43685241
828,40,16,,2016-03-19 00:42:52.7530000,2016-03-19 00:42:53.3670000,4E72444D43594859426F44594159416331344631724849356B43733855413658644D4A6153555A65513256564941
829,40,16,,2016-03-19 00:42:53.4350000,2016-03-19 00:42:54.0680000,4E72444D45594359426F4134415A54586758576D65746F4535593367485143734B4B5141
830,40,16,,2016-03-19 00:42:54.0850000,2016-03-19 00:42:54.5660000,4E72444D45594134426F4535594F7A51417746317241457977437A584A754D6967485136717041
831,40,16,,2016-03-19 00:42:54.5680000,2016-03-19 00:42:56.2920000,4E72444D41594459426F4559435A77413572674C72544F636341734257664F414F674859303067
832,40,16,,2016-03-19 00:42:56.3710000,2016-03-19 00:42:56.8510000,4E72444D45594259426F6F646C4E41444158576D63355944594373336B41365346464941
833,40,16,,2016-03-19 00:42:56.8860000,2016-03-19 00:42:59.5530000,4E72444D435A51476752674E674A77415970494C705445757341634257664B63414F6742594D78343951466954394B49555943565334303067
834,40,16,,2016-03-19 00:42:59.5710000,2016-03-19 00:43:00.4550000,4E72444D435A774767526744674B77415970494C707141
